#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A68A6E
#Date Time: 2019-03-26 10:03:55.723
#Start: 100 Hz
#Stop: 30000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 5.44304 V
#Offset: -1.08332e-05 V
#Relative: yes
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 5 kHz
#Amplitude: 50 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 5 kHz
#Amplitude: 50 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (°)
100,37.483,47.1673
103.876,37.3478,46.5331
107.902,37.4618,45.2117
112.084,37.6913,42.6198
116.428,37.7417,42.4512
120.94,37.8351,40.7507
125.628,37.9178,38.9991
130.497,38.0102,37.8028
135.554,38.0167,36.5881
140.808,38.1295,35.5902
146.265,38.2059,34.2108
151.934,38.228,33.1795
157.823,38.2462,31.596
163.94,38.3119,30.9734
170.293,38.3425,29.5195
176.894,38.4077,28.3815
183.75,38.4562,27.5559
190.871,38.49,26.62
198.269,38.5381,25.6133
205.953,38.5622,24.6646
213.935,38.6058,23.7394
222.227,38.6111,22.9235
230.84,38.6567,22.2136
239.787,38.6565,21.332
249.08,38.7043,20.6123
258.734,38.7134,19.7883
268.762,38.748,18.9972
279.178,38.741,18.3297
289.999,38.8063,17.6918
301.238,38.8485,16.9866
312.913,38.8624,16.4207
325.041,38.8758,15.5205
337.639,38.7991,15.3429
350.725,38.8251,14.2964
364.318,38.9508,14.1255
378.438,38.848,13.181
393.105,38.9577,12.9727
408.341,38.87,12.3278
424.167,38.8878,11.8082
440.607,38.9716,11.1795
457.684,38.9165,10.6714
475.423,38.967,10.2543
493.849,39.0956,9.85722
512.989,39.0845,9.37919
532.871,39.0897,8.90187
553.524,39.0301,8.5711
574.977,38.9298,8.09098
597.262,38.8778,7.65371
620.41,39.1297,7.29657
644.456,38.9573,6.91178
669.433,39.1445,6.61973
695.378,38.9149,6.11106
722.33,38.8914,5.81989
750.325,39.1595,5.39719
779.406,38.9647,5.12418
809.614,39.1814,4.72592
840.992,38.9333,4.46617
873.587,39.0375,4.00876
907.445,39.0462,3.8084
942.615,39.1368,3.18435
979.148,38.9603,3.16308
1017.1,39.1641,2.67024
1056.52,39.203,2.1307
1097.47,39.251,2.00568
1140,39.1088,1.7856
1184.18,39.2184,1.43689
1230.08,38.9669,1.10831
1277.75,39.2462,0.781745
1327.28,39.1366,0.395748
1378.72,39.0203,0.252802
1432.15,39.0103,-0.101684
1487.66,39.2356,-0.474456
1545.32,39.2801,-0.761032
1605.21,39.0625,-1.01291
1667.43,39.2816,-1.50381
1732.05,39.2901,-1.83661
1799.18,39.2748,-2.25621
1868.91,39.0494,-2.48077
1941.35,39.2746,-2.91329
2016.59,39.2999,-3.30388
2094.75,39.2623,-3.79483
2175.93,39.0287,-3.94054
2260.27,39.2085,-4.43536
2347.87,39.189,-4.66429
2438.87,39.2559,-5.18961
2533.39,39.0804,-5.30352
2631.58,39.1212,-5.81818
2733.57,39.3758,-6.43257
2839.52,39.1483,-6.79524
2949.57,39.3936,-7.40852
3063.89,39.1577,-7.54502
3182.64,39.213,-8.12058
3305.99,39.1443,-8.48432
3434.12,39.3367,-9.11975
3567.22,39.2273,-9.6323
3705.47,39.1771,-9.99474
3849.09,39.4133,-10.7363
3998.27,39.4886,-11.4786
4153.23,39.2577,-11.762
4314.2,39.465,-12.7261
4481.4,39.4001,-13.3468
4655.09,39.2842,-13.5541
4835.51,39.4226,-14.664
5022.92,39.3972,-15.1016
5217.6,39.4967,-16.2296
5419.82,39.4322,-16.5961
5629.88,39.669,-17.9715
5848.08,39.5622,-18.3357
6074.73,39.4537,-19.0638
6310.18,39.6737,-20.8378
6554.74,39.514,-21.1672
6808.79,39.687,-22.7768
7072.68,39.6377,-23.3745
7346.8,39.8807,-25.1259
7631.54,39.762,-25.868
7927.32,39.9407,-27.8957
8234.56,39.7825,-28.5507
8553.71,39.8232,-30.1905
8885.23,40.0683,-32.5938
9229.6,39.9042,-33.7148
9587.32,39.9321,-35.3504
9958.89,40.177,-38.6154
10344.9,40.0416,-39.624
10745.8,40.167,-43.1077
11162.3,40.237,-45.3374
11594.9,40.087,-47.5505
12044.3,40.0991,-50.2839
12511.1,40.1477,-54.579
12996,39.9545,-57.1721
13499.7,40.0434,-60.931
14022.9,39.883,-64.4138
14566.4,39.5887,-69.0017
15131,39.5074,-73.2002
15717.4,39.1437,-77.1247
16326.6,38.8488,-82.0821
16959.3,38.4744,-86.5803
17616.6,37.8202,-91.3036
18299.4,37.275,-95.8859
19008.7,36.6029,-100.392
19745.4,35.5608,-103.966
20510.7,34.5574,-106.786
21305.6,33.2149,-108.587
22131.4,31.8445,-107.782
22989.1,30.575,-102.025
23880.1,29.7062,-91.3022
24805.6,30.4351,-80.4235
25767,31.8434,-76.2115
26765.7,33.3343,-78.8581
27803.1,34.179,-86.0434
28880.7,34.41,-95.0539
30000,34.1946,-103.511
