#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A68A76
#Date Time: 2019-03-19 09:03:45.091
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: 300 mV
#Channel 2: Range: 2 V/div Offset: -4 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Amplitude: 100 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.00102375,0.0171074,-0.817156
-0.0010235,0.013811,-0.803896
-0.00102325,0.013811,-0.797266
-0.001023,0.013811,-0.784006
-0.00102275,0.0171074,-0.777376
-0.0010225,0.0171074,-0.767432
-0.00102225,0.013811,-0.760802
-0.001022,0.013811,-0.757487
-0.00102175,0.013811,-0.750857
-0.0010215,0.00721821,-0.744227
-0.00102125,0.0105146,-0.730967
-0.001021,0.0105146,-0.714393
-0.00102075,0.0105146,-0.697818
-0.0010205,0.0105146,-0.694503
-0.00102025,0.00721821,-0.681243
-0.00102,0.0105146,-0.674613
-0.00101975,0.00721821,-0.664669
-0.0010195,0.013811,-0.661354
-0.00101925,0.013811,-0.654724
-0.001019,0.013811,-0.648094
-0.00101875,0.0171074,-0.638149
-0.0010185,0.013811,-0.631519
-0.00101825,0.0171074,-0.628204
-0.001018,0.0171074,-0.624889
-0.00101775,0.013811,-0.61826
-0.0010175,0.0105146,-0.608315
-0.00101725,0.0105146,-0.601685
-0.001017,0.00721821,-0.595055
-0.00101675,0.0105146,-0.588425
-0.0010165,0.0039218,-0.581795
-0.00101625,0.00721821,-0.575165
-0.001016,0.00721821,-0.565221
-0.00101575,0.0105146,-0.551961
-0.0010155,0.0105146,-0.538701
-0.00101525,0.00721821,-0.532071
-0.001015,0.013811,-0.515497
-0.00101475,0.0105146,-0.508867
-0.0010145,0.0105146,-0.495607
-0.00101425,0.00721821,-0.488977
-0.001014,0.0105146,-0.472403
-0.00101375,0.00721821,-0.469088
-0.0010135,0.00721821,-0.459143
-0.00101325,0.00721821,-0.445883
-0.001013,0.00721821,-0.439253
-0.00101275,0.00721821,-0.429308
-0.0010125,0.0105146,-0.422679
-0.00101225,0.00721821,-0.419364
-0.001012,0.0039218,-0.406104
-0.00101175,0.0039218,-0.402789
-0.0010115,0.0039218,-0.392844
-0.00101125,0.0039218,-0.386214
-0.001011,0.000625387,-0.372955
-0.00101075,0.000625387,-0.36301
-0.0010105,0.000625387,-0.34975
-0.00101025,0.000625387,-0.34312
-0.00101,0.0039218,-0.333175
-0.00100975,0.000625387,-0.323231
-0.0010095,-0.00267102,-0.316601
-0.00100925,-0.00267102,-0.306656
-0.001009,-0.00596743,-0.296711
-0.00100875,0.000625387,-0.290081
-0.0010085,0.000625387,-0.283451
-0.00100825,0.0039218,-0.276822
-0.001008,0.00721821,-0.273507
-0.00100775,0.000625387,-0.270192
-0.0010075,0.0039218,-0.266877
-0.00100725,0.0039218,-0.260247
-0.001007,0.00721821,-0.250302
-0.00100675,0.0039218,-0.246987
-0.0010065,0.00721821,-0.240357
-0.00100625,0.00721821,-0.233727
-0.001006,0.00721821,-0.220468
-0.00100575,0.0039218,-0.217153
-0.0010055,0.000625387,-0.210523
-0.00100525,0.0039218,-0.207208
-0.001005,0.0039218,-0.197263
-0.00100475,0.000625387,-0.193948
-0.0010045,0.0039218,-0.184003
-0.00100425,0.000625387,-0.164114
-0.001004,0.000625387,-0.157484
-0.00100375,-0.00267102,-0.154169
-0.0010035,-0.00267102,-0.144224
-0.00100325,0.000625387,-0.134279
-0.001003,0.000625387,-0.124335
-0.00100275,0.0039218,-0.11439
-0.0010025,0.0039218,-0.104445
-0.00100225,0.000625387,-0.10113
-0.001002,0.000625387,-0.0945002
-0.00100175,0.00721821,-0.0911853
-0.0010015,0.000625387,-0.0845554
-0.00100125,0.000625387,-0.0845554
-0.001001,0.000625387,-0.0679807
-0.00100075,0.000625387,-0.0613509
-0.0010005,0.0039218,-0.0480911
-0.00100025,0.00721821,-0.0348314
-0.001,0.000625387,-0.0149418
-0.00099975,0.000625387,-0.00499701
-0.0009995,-0.00267102,0.00494779
-0.00099925,0.0039218,0.0115777
-0.000999,-0.00267102,0.0248374
-0.00099875,-0.00267102,0.0314673
-0.0009985,-0.00267102,0.0480419
-0.00099825,0.000625387,0.0546718
-0.000998,-0.00267102,0.0613016
-0.00099775,0.000625387,0.0646166
-0.0009975,0.0039218,0.0679315
-0.00099725,0.0039218,0.0745614
-0.000997,0.0039218,0.0811912
-0.00099675,0.0039218,0.0845062
-0.0009965,0.0039218,0.091136
-0.00099625,0.000625387,0.094451
-0.000996,-0.00267102,0.104396
-0.00099575,-0.00267102,0.111026
-0.0009955,-0.00267102,0.12097
-0.00099525,0.000625387,0.130915
-0.000995,-0.00267102,0.137545
-0.00099475,-0.00267102,0.144175
-0.0009945,-0.00267102,0.15412
-0.00099425,-0.00596743,0.170694
-0.000994,-0.00267102,0.177324
-0.00099375,-0.00267102,0.183954
-0.0009935,0.000625387,0.190584
-0.00099325,-0.00267102,0.197214
-0.000993,0.000625387,0.203844
-0.00099275,-0.00596743,0.210474
-0.0009925,-0.00267102,0.220418
-0.00099225,-0.00267102,0.236993
-0.000992,-0.00596743,0.250253
-0.00099175,-0.00596743,0.260198
-0.0009915,-0.00926384,0.266827
-0.00099125,-0.00926384,0.283402
-0.000991,-0.00926384,0.290032
-0.00099075,-0.00267102,0.293347
-0.0009905,-0.00267102,0.299977
-0.00099025,-0.00596743,0.303292
-0.00099,-0.00267102,0.313237
-0.00098975,-0.00596743,0.319866
-0.0009895,-0.00267102,0.326496
-0.00098925,-0.00267102,0.329811
-0.000989,-0.00267102,0.339756
-0.00098875,-0.00596743,0.349701
-0.0009885,-0.00596743,0.362961
-0.00098825,-0.00926384,0.36959
-0.000988,-0.00596743,0.379535
-0.00098775,-0.00926384,0.386165
