#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A68A76
#Date Time: 2019-03-19 09:13:46.624
#Start: 10 Hz
#Stop: 200000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 54.0084 V
#Offset: 0.00307853 V
#Relative: no
#Channel: Channel 2
#Range: 54.3119 V
#Offset: 0.00315965 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10,0.0170059,27.0257,-100.161
10.6825,0.0336365,27.5097,-102.506
11.4116,0.0210581,28.0086,-104.803
12.1905,0.027551,28.4716,-107.159
13.0225,0.0191447,28.9326,-109.424
13.9113,0.027777,29.3615,-111.78
14.8608,0.00175117,29.8062,-114.201
15.875,0.022565,30.1869,-116.514
16.9585,0.0217195,30.57,-118.742
18.116,0.017376,30.9362,-121.21
19.3524,0.0248722,31.2742,-123.48
20.6733,0.0271715,31.5961,-125.809
22.0842,0.00741973,31.9202,-128.123
23.5915,0.0169384,32.1968,-130.398
25.2017,0.0247875,32.4562,-132.648
26.9217,0.0140341,32.7114,-134.826
28.7592,0.0172974,32.9361,-137.005
30.722,0.0269328,33.1364,-139.056
32.8189,0.00847897,33.3478,-141.179
35.0588,-0.00405058,33.5352,-143.122
37.4516,0.0153049,33.6739,-145.136
40.0078,0.0283304,33.8055,-146.856
42.7383,0.0911253,33.9055,-146.066
45.6553,0.484916,33.5032,-156.499
48.7714,0.0871754,33.9958,-160.617
52.1001,0.844491,33.3352,-159.097
55.656,0.860286,33.5194,-151.29
59.4546,-0.284755,34.7707,-153.688
63.5125,-0.0832657,34.5952,-157.94
67.8473,-0.00549825,34.5766,-158.957
72.478,-0.000567525,34.6241,-160.099
77.4247,-0.0179678,34.6873,-161.241
82.7091,-0.0201362,34.7305,-162.229
88.3541,-0.00672188,34.7669,-163.178
94.3844,-0.0262909,34.8066,-164.164
100.826,-0.0238088,34.8359,-164.837
107.708,-0.0471291,34.856,-165.788
115.059,-0.0461567,34.8997,-166.483
122.912,-0.0406543,34.9097,-167.316
131.301,-0.0514008,34.9309,-167.853
140.262,-0.0504621,34.939,-168.354
149.836,-0.0994667,35.0013,-168.834
160.062,-0.0757308,34.9837,-169.691
170.987,-0.113794,35.0301,-170.148
182.657,-0.119884,35.0404,-170.466
195.123,-0.137355,35.0572,-170.797
208.441,-0.14942,35.07,-171.173
222.667,-0.179964,35.1006,-171.485
237.864,-0.214107,35.134,-171.709
254.099,-0.173622,35.091,-172.082
271.442,-0.214787,35.1249,-172.258
289.968,-0.263327,35.1652,-172.361
309.759,-0.264936,35.1588,-172.478
330.9,-0.383164,35.2665,-173.439
353.485,-0.311789,35.1797,-172.38
377.611,-0.341923,35.1956,-172.652
403.383,-0.434404,35.2671,-173.904
430.915,-0.48418,35.297,-173.864
460.325,-0.592554,35.39,-173.515
491.743,-0.590564,35.3683,-173.816
525.306,-0.644195,35.3918,-173.383
561.158,-0.767195,35.492,-173.957
599.458,-0.722478,35.4122,-173.713
640.372,-0.834786,35.4948,-174.18
684.079,-0.959517,35.5958,-174.078
730.768,-1.02898,35.6228,-174.155
780.644,-1.12175,35.685,-174.569
833.924,-1.19929,35.7229,-174.344
890.841,-1.22408,35.7131,-174.444
951.642,-1.29579,35.7404,-174.732
1016.59,-1.38646,35.8061,-174.458
1085.98,-1.43232,35.8111,-175.106
1160.1,-1.61861,35.9615,-175.065
1239.28,-1.67583,35.9854,-175.441
1323.86,-1.7012,35.9742,-175.208
1414.21,-1.83098,36.0745,-176.263
1510.74,-1.79002,36.0076,-176.509
1613.85,-1.96304,36.1432,-176.823
1723.99,-1.96609,36.1189,-176.751
1841.66,-1.99643,36.1259,-177.033
1967.35,-2.06105,36.1623,-177.368
2101.63,-2.10922,36.1873,-177.95
2245.07,-2.13212,36.1934,-177.875
2398.3,-2.18886,36.2337,-178.069
2561.99,-2.22321,36.2493,-178.763
2736.85,-2.24815,36.2524,-179.116
2923.64,-2.26785,36.2601,-179.12
3123.18,-2.28666,36.2703,-179.423
3336.34,-2.32968,36.2941,-179.578
3564.06,-2.31925,36.2814,180
3807.31,-2.3673,36.3141,179.383
4067.16,-2.38411,36.3225,179.341
4344.75,-2.41539,36.3563,178.936
4641.29,-2.39435,36.3114,178.34
4958.06,-2.44353,36.3577,178.526
5296.46,-2.43107,36.3312,178.306
5657.95,-2.40457,36.3064,177.914
6044.12,-2.4335,36.3284,177.18
6456.64,-2.41602,36.3001,176.844
6897.31,-2.4234,36.3035,176.751
7368.06,-2.41273,36.297,176.161
7870.94,-2.40818,36.2837,175.835
8408.15,-2.47833,36.3379,175.101
8982.02,-2.47583,36.34,174.731
9595.05,-2.45997,36.3061,174.537
10249.9,-2.39525,36.2463,174.277
10949.5,-2.45034,36.2888,173.688
11696.8,-2.39346,36.2257,172.935
12495.2,-2.45306,36.2804,172.13
13348,-2.42043,36.2305,171.605
14259,-2.46496,36.2667,171.031
15232.2,-2.4452,36.2348,170.308
16271.8,-2.4561,36.2354,170.161
17382.4,-2.44606,36.2067,169.078
18568.8,-2.43399,36.1677,168.515
19836.1,-2.34427,36.0627,167.945
21189.9,-2.38002,36.0739,166.922
22636.2,-2.38729,36.0577,166.123
24181.1,-2.36453,36.0017,164.835
25831.5,-2.41568,36.0242,164.503
27594.6,-2.41357,35.983,162.337
29478,-2.38606,35.9112,161.959
31489.9,-2.40349,35.884,160.582
33639.1,-2.30596,35.7382,159.525
35935,-2.19764,35.5609,158.152
38387.7,-2.24842,35.5544,156.262
41007.7,-2.27493,35.5118,155.701
43806.5,-2.232,35.3855,153.316
46796.4,-2.24107,35.3037,152.496
49990.3,-2.11156,35.0685,150.705
53402.2,-2.22306,35.0601,148.649
57047,-2.10127,34.8244,147.572
60940.6,-2.09659,34.6847,145.33
65099.8,-2.08594,34.5166,143.88
69543,-1.9942,34.2711,142.306
74289.4,-1.96252,34.0558,139.702
79359.8,-1.97846,33.8635,138.154
84776.2,-1.80511,33.4814,136.795
90562.3,-1.83874,33.2852,133.684
96743.4,-1.70804,32.8982,132.608
103346,-1.72835,32.6442,130.7
110400,-1.68175,32.2976,129.142
117935,-1.66998,31.9944,127.49
125984,-1.72428,31.721,125.438
134583,-1.62942,31.2788,123.81
143768,-1.65564,30.9219,121.226
153580,-1.46679,30.3808,119.614
164063,-1.55218,30.0626,118.396
175260,-1.43002,29.5174,117.352
187222,-1.47578,29.1356,114.536
200000,-1.27451,28.5179,112.558
